id	source	language	query	source_id	url	keywords
0	soSearches	python	how to call soap api with python			call soap api python
1	soSearches	python	how to convert python currency usd to peso			convert python currency usd peso
2	soSearches	python	how to install mysql client to python 3.6 using pip			install mysql client python using pip
3	soSearches	python	python how to alphanumerically sort an array of data			python sort array data
4	soSearches	python	how to avoid formattingg of the text in the slide of the ppt using python			avoid formattingg text slide ppt using python
5	soSearches	python	how to count iteration of a while loop in python			count iteration while loop python
6	soSearches	python	how to change text colour in python 3.7			change text colour python
7	soSearches	python	how to say all odd numbers within a range in python			say odd numbers range python
8	soSearches	python	how to trace the execution in python			trace execution python
9	soSearches	python	how to resize an image using python			resize image using python
10	soSearches	python	how to open file using sys in python script			open file using sys python script
11	soSearches	python	how to dereference python variable inside quotes			dereference python variable inside quotes
12	soSearches	python	how to make button in python without tkinter			make button python tkinter
13	soSearches	python	how to get sum of each row in 2d list in python			get sum row list python
14	soSearches	python	how to split an integer in python by 2 or 3			split integer python
15	soSearches	python	how to print oput the first letter form each word in a string in  python			print first letter form word string python
16	soSearches	python	how to read another file in python			read file python
17	soSearches	python	python how to remove files and directories			python remove files directories
18	soSearches	python	how to find starting point of any action python			find starting point action python
19	soSearches	python	how to add loop to python			add loop python
20	soSearches	python	how to check if a file exist in python			check file exist python
21	soSearches	python	how to parse .csv file in python			parse .csv file python
22	soSearches	python	python how to iterate list			python iterate list
23	soSearches	python	how to convert result of python from decimal to floating numbers			convert result python decimal floating numbers
24	soSearches	python	how to path the file of data  in python			path file data python
25	soSearches	python	how to center turtle in python			center turtle python
26	soSearches	python	python how to append to a binary file			python append binary file
27	soSearches	python	python pandas how to loop over a dataframe			python pandas loop dataframe
28	soSearches	python	how to change dataframe cells in python			change dataframe cells python
29	soSearches	python	how to restrict input cursor to fixed  length in python			restrict input cursor fixed length python
30	soSearches	python	how to find how many keys are there in python dictionary			find many keys are python dictionary
31	soSearches	python	how to change file permission python			change file permission python
32	soSearches	python	how to pass in a for loop python			pass loop python
33	soSearches	python	how to put a moving gif image in canvas using class in python 3.5			put moving gif image canvas using class python
34	soSearches	python	how to install skylearn in python			install skylearn python
35	soSearches	python	python how to print binary string without b			python print binary string b
36	soSearches	python	how to import cv2 in python 3.6 on windows			import cv2 python windows
37	soSearches	python	how to say and in python			say python
38	soSearches	python	how to iterate over a list in python			iterate list python
39	soSearches	python	how to convert dictionary to set in python			convert dictionary set python
40	soSearches	python	how to draw check in python			draw check python
41	soSearches	python	how to refer to the next letter in a string in python			refer next letter string python
42	soSearches	python	how to install aws cli in windows [python]			install aws cli windows [ python ]
43	soSearches	python	how to read and write 'dbf' files in python			read write 'dbf files python
44	soSearches	python	how to get a user with google api using python			get user google api using python
45	soSearches	python	how to draw smiley with circle on turtle python 3			draw smiley circle turtle python
46	soSearches	python	how to find min date from all groups from groupby columns in python			find min date groups groupby columns python
47	soSearches	python	how to set spyder as default program/app to open (.py) python file?			set spyder default program/app open .py python file
48	soSearches	python	[python] how to use of			[ python ] use
49	soSearches	python	how to display a picture on the screen using python			display picture screen using python
50	soSearches	python	how to find a substring in a string in python			find substring string python
51	soSearches	python	how to ask user to input age on python			ask user input age python
52	soSearches	python	how to remove value in list using index using python			remove value list using index using python
53	soSearches	python	how to use pi on python			use pi python
54	soSearches	python	how to add sound to game in windows in python 3			add sound game windows python
55	soSearches	python	how to automate facebook login in chrome using python			automate facebook login chrome using python
56	soSearches	python	how to add to empty canvas jes/python			add empty canvas jes/python
57	soSearches	python	how to check the string as all alphabets in python			check string alphabets python
58	soSearches	python	how to find a leap year using python			find leap year using python
59	soSearches	python	python how to inherit from two class			python inherit class
60	soSearches	python	how to add two complex numbers in python3			add complex numbers python3
61	soSearches	python	how to increment a variable in while loop in python 2.7			increment variable loop python
62	soSearches	python	how to remove float nan in python			remove float nan python
63	soSearches	python	how to get standard deviation of numbers in matrix python			get standard deviation numbers matrix python
64	soSearches	python	how to check if an data already present in a text file using python			check data present text file using python
65	soSearches	python	how to delete a character from a string in python			delete character string python
66	soSearches	python	how to write a list to a new file python			write list new file python
67	soSearches	python	how to count the same string in a column in dictionary python			count same string column dictionary python
68	soSearches	python	how to print \br in python			print \br python
69	soSearches	python	how to fill nan values in dataframe in python			fill nan values dataframe python
70	soSearches	python	how to input a atrix in python			input atrix python
71	soSearches	python	how to unit-test code that uses python-multiprocessing			unit-test code uses python-multiprocessing
72	soSearches	python	how to return value from python as string			return value python string
73	soSearches	python	how to check if a string is a number in python			check string is number python
74	soSearches	python	how to change the image when click on selected radio button option python			change image click selected radio button option python
75	soSearches	python	how to delete elements in a list python			delete elements list python
76	soSearches	python	how to sort dictionary elements by keys in python			sort dictionary elements keys python
77	soSearches	python	how to convert days to years in python			convert days years python
78	soSearches	python	how to load data from excel file to python			load data excel file python
79	soSearches	python	for in loop how to get different response python			loop get different response python
80	soSearches	python	how to print a random list in python			print random list python
81	soSearches	python	[python] how to fill a subplot			[ python ] fill subplot
82	soSearches	python	in python how to select data from dictionary to display in gui			python select data dictionary display gui
83	soSearches	python	how to put a background with python			put background python
84	soSearches	python	how to install python3 on google cloud platform			install python3 google cloud platform
85	soSearches	python	how to change window color python			change window color python
86	soSearches	python	how to pass argument from aws lambda using python docopt from s3			pass argument aws lambda using python docopt s3
87	soSearches	python	how to find second maximum in python			find second maximum python
88	soSearches	python	how to copy over multiple excel sheets to another workbook in python			copy multiple excel sheets workbook python
89	soSearches	python	how to sort items in an array in python			sort items array python
90	soSearches	python	how to use newline python			use newline python
91	soSearches	python	python how to combine an array of strings into one string			python combine array strings string
92	soSearches	python	how to compare two arrays in python			compare arrays python
93	soSearches	python	how to find the date in python			find date python
94	soSearches	python	how to convert series to dataframe in python			convert series dataframe python
95	soSearches	python	how to close the chatbox in python			close chatbox python
96	soSearches	python	python how to enable adobe flash in firefox selenium webdriver			python enable adobe flash firefox selenium webdriver
97	soSearches	python	how to skip to the next iteration in a for loop python			skip next iteration loop python
98	soSearches	python	how to deal with extra \"\\" in data file in python			deal extra \ \\ data file python
99	soSearches	python	how to get the current time of a remote system in python			get current time remote system python
100	soSearches	python	how to recurse a string in python			recurse string python
101	soSearches	python	how to allow the user to indicate mathematical operations in python code			allow user indicate mathematical operations python code
102	soSearches	python	how to make top trumps in python			make top trumps python
103	soSearches	python	how to calculation sum in  loop in python			calculation sum loop python
104	soSearches	python	how to count string values python			count string values python
105	soSearches	python	how to create queue in python			create queue python
106	soSearches	python	python how to get url			python get url
107	soSearches	python	how to calculate area in python			calculate area python
108	soSearches	python	how to implement elu in python			implement elu python
109	soSearches	python	how to get python pandas help menu			get python pandas help menu
110	soSearches	python	how to convert object into integer in python			convert object integer python
111	soSearches	python	how to make variable increment colorbars python			make variable increment colorbars python
112	soSearches	python	how to generate even numbers in python			generate even numbers python
113	soSearches	python	how to round to 1 decimal python			round decimal python
114	soSearches	python	python how to remove useless numbers			python remove useless numbers
115	soSearches	python	how to calculate date of birth python			calculate date birth python
116	soSearches	python	how to give path in python			give path python
117	soSearches	python	python how to resize images			python resize images
118	soSearches	python	how to follow a random path in python			follow random path python
119	soSearches	python	how to get the last id recorded in sqlite python			get last id recorded sqlite python
120	soSearches	python	how to print statut on terminal with python using paraminko			print statut terminal python using paraminko
121	soSearches	python	how to get current time and date in python?			get current time date python
122	soSearches	python	how to write code for tic tac toe python			write code tic tac toe python
123	soSearches	python	how to take standard deviation of a csv file in python by using numpy			take standard deviation csv file python using numpy
124	soSearches	python	how to change dtype int64 to object inpython			change dtype int64 object inpython
125	soSearches	python	python how to keep a column in a dataframe			python keep column dataframe
126	soSearches	python	python 3.6 how to update list			update list
127	soSearches	python	how to take input of array list in python			take input array list python
128	soSearches	python	how to loop a program python			loop program python
129	soSearches	python	how to create rainbow like color map in python			create rainbow color map python
130	soSearches	python	how to delete an item from a list when it has been called python			delete item list has been called python
131	soSearches	python	how to display league table in python in order			display league table python order
132	soSearches	python	how to calculate wind direction from u and v wind components in python			calculate wind direction u v wind components python
133	soSearches	python	python3 0l how to enforce long type			enforce long type
134	soSearches	python	how to express and in python			express python
135	soSearches	python	how to sort day as key in dictionary in python			sort day key dictionary python
136	soSearches	python	how to embed python code in web page			embed python code web page
137	soSearches	python	how to create a battleship game using python			create battleship game using python
138	soSearches	python	python matplotlib bumpy how to prevent a plot being written to twice by another process			python matplotlib bumpy prevent plot being written process
139	soSearches	python	how to make python script executable			make python script executable
140	soSearches	python	how to set up environ for python cgi			set environ python cgi
141	soSearches	python	how to append a number to a  different python file python			append number different python file python
142	soSearches	python	how to delete all variables before run my script python			delete variables run script python
143	soSearches	python	how to format html table in python			format html table python
144	soSearches	python	how to make work python 3 on mac			make work mac
145	soSearches	python	how to get the printf data from cdll in python			get printf data cdll python
146	soSearches	python	how to display an item from a list python			display item list python
147	soSearches	python	python how to use del			python use del
148	soSearches	python	python how to exit program			python exit program
149	soSearches	python	how to convert xlsx file to html file in python			convert xlsx file html file python
150	soSearches	python	how to use lsh match in python			use lsh match python
151	soSearches	python	how to use python file in same package			use python file same package
152	soSearches	python	how to start a python program from an icon			start python program icon
153	soSearches	python	how to read tuple values in python			read tuple values python
154	soSearches	python	how to show table on chat window using python flask			show table chat window using python flask
155	soSearches	python	how to roundoff values in python			roundoff values python
156	soSearches	python	how to import docx in python			import docx python
157	soSearches	python	how to write a program using conditional statement in python.			write program using conditional statement python
158	soSearches	python	how to use messagebox in python 3.7			use messagebox python
159	soSearches	python	how to use sockets to send http request in python			use sockets send http request python
160	soSearches	python	how to drag an image around the screen in python			drag image screen python
161	soSearches	python	how to generate random numbers in particular range in python			generate random numbers particular range python
162	soSearches	python	how to type () faster python 3			type
163	soSearches	python	how to change background color in python with turtle			change background color python turtle
164	soSearches	python	[python]how to maintain inventory of store			[ python ] maintain inventory store
165	soSearches	python	how to open idx file in python			open idx file python
166	soSearches	python	how to split a string placed on spacing in python			split string placed spacing python
167	soSearches	python	after returning dataframe how to print it in python			returning dataframe print python
168	soSearches	python	how to mkae a log in on python			mkae log python
169	soSearches	python	python how to convert dict to a string			python convert dict string
170	soSearches	python	how to save/load in python			save/load python
171	soSearches	python	how to execute a function written in another file in python			execute function written file python
172	soSearches	python	python how to return the __str__  when not printing			python return __str__ printing
173	soSearches	python	how to break out of python program in spyder			break python program spyder
174	soSearches	python	how to link a python variable to r code			link python variable r code
175	soSearches	python	how to use a variable to add a value in python			use variable add value python
176	soSearches	python	how to build a python random number game, that corrects a letter entry error			build python random number game corrects letter entry error
177	soSearches	python	python how to use global			python use global
178	soSearches	python	how to do import data from xml in excel using python			do import data xml excel using python
179	soSearches	python	how to read line and calculate in python			read line calculate python
180	soSearches	python	how to check if packages are installed python			check packages are installed python
181	soSearches	python	how to access private data from class in python			access private data class python
182	soSearches	python	python mysql how to show the actual sql statement sent to mysql			python mysql show actual sql statement sent mysql
183	soSearches	python	how to increment the month in datetime? python			increment month datetime python
184	soSearches	python	how to randomly get two numbers python			randomly get numbers python
185	soSearches	python	how to find the first character in a string python			find first character string python
186	soSearches	python	how to print in multiple line python			print multiple line python
187	soSearches	python	how to clear global variable in python			clear global variable python
188	soSearches	python	how to find the creation data to a file using python			find creation data file using python
189	soSearches	python	how to do tag name with its category in python			do tag name category python
190	soSearches	python	how to calculate the the power of something in python			calculate power something python
191	soSearches	python	how to conver string to int in python			conver string int python
192	soSearches	python	how to grab the position of an object in turtle python			grab position object turtle python
193	soSearches	python	how to stop a progress bar in python			stop progress bar python
194	soSearches	python	how to use import datetime python			use import datetime python
195	soSearches	python	how to create a password using python 3 without a database			create password using python database
196	soSearches	python	how to import get_column_letterin python			import get_column_letterin python
197	soSearches	python	how to extract syntactic dependency using stanford corenlp in python			extract syntactic dependency using stanford corenlp python
198	soSearches	python	how to log caller name and line number in python			log caller name line number python
199	soSearches	python	how to declare an 2d array in python?			declare array python
200	soSearches	python	how to read a microsoft access file in python			read microsoft access file python
201	soSearches	python	how to open workbook in python			open workbook python
