id	source	langauge	query	souce_id	url	signature
768	leetcodeTitles	python	Valid Anagram	242	https://leetcode.com/problems/valid-anagram/	"def isAnagram(self, s, t):"
769	leetcodeTitles	python	Keys and Rooms	841	https://leetcode.com/problems/keys-and-rooms/	"def canVisitAllRooms(self, rooms):"
770	leetcodeTitles	python	Complement of Base 10 Integer	1009	https://leetcode.com/problems/complement-of-base-10-integer/	"def bitwiseComplement(self, n):"
771	leetcodeTitles	python	Remove Duplicates from Sorted List II	82	https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/	"def deleteDuplicates(self, head):"
772	leetcodeTitles	python	Pascal's Triangle II	119	https://leetcode.com/problems/pascals-triangle-ii/	"def getRow(self, rowIndex):"
773	leetcodeTitles	python	Stock Price Fluctuation	2034	https://leetcode.com/problems/stock-price-fluctuation/	"def update(self, timestamp, price):"
774	leetcodeTitles	python	All Ancestors of a Node in a Directed Acyclic Graph	2192	https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/	"def getAncestors(self, n, edges):"
775	leetcodeTitles	python	Make Sum Divisible by P	1590	https://leetcode.com/problems/make-sum-divisible-by-p/	"def minSubarray(self, nums, p):"
776	leetcodeTitles	python	Generate Random Point in a Circle	478	https://leetcode.com/problems/generate-random-point-in-a-circle/	"def randPoint(self):"
777	leetcodeTitles	python	Adding Two Negabinary Numbers	1073	https://leetcode.com/problems/adding-two-negabinary-numbers/	"def addNegabinary(self, arr1, arr2):"
778	leetcodeTitles	python	Linked List Components	817	https://leetcode.com/problems/linked-list-components/	"def numComponents(self, head, nums):"
779	leetcodeTitles	python	Display Table of Food Orders in a Restaurant	1418	https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/	"def displayTable(self, orders):"
780	leetcodeTitles	python	Statistics from a Large Sample	1093	https://leetcode.com/problems/statistics-from-a-large-sample/	"def sampleStats(self, count):"
781	leetcodeTitles	python	Keyboard Row	500	https://leetcode.com/problems/keyboard-row/	"def findWords(self, words):"
782	leetcodeTitles	python	Construct the Lexicographically Largest Valid Sequence	1718	https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/	"def constructDistancedSequence(self, n):"
783	leetcodeTitles	python	Plus One	66	https://leetcode.com/problems/plus-one/	"def plusOne(self, digits):"
784	leetcodeTitles	python	Coordinate With Maximum Network Quality	1620	https://leetcode.com/problems/coordinate-with-maximum-network-quality/	"def bestCoordinate(self, towers, radius):"
785	leetcodeTitles	python	Number of Good Ways to Split a String	1525	https://leetcode.com/problems/number-of-good-ways-to-split-a-string/	"def numSplits(self, s):"
786	leetcodeTitles	python	Binary Search Tree Iterator	173	https://leetcode.com/problems/binary-search-tree-iterator/	"def next(self):"
787	leetcodeTitles	python	Minimum Operations to Make a Uni-Value Grid	2033	https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/	"def minOperations(self, grid, x):"
788	leetcodeTitles	python	Construct Binary Search Tree from Preorder Traversal	1008	https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/	"def bstFromPreorder(self, preorder):"
789	leetcodeTitles	python	Divisor Game	1025	https://leetcode.com/problems/divisor-game/	"def divisorGame(self, n):"
790	leetcodeTitles	python	Validate Stack Sequences	946	https://leetcode.com/problems/validate-stack-sequences/	"def validateStackSequences(self, pushed, popped):"
791	leetcodeTitles	python	Find the Middle Index in Array	1991	https://leetcode.com/problems/find-the-middle-index-in-array/	"def findMiddleIndex(self, nums):"
792	leetcodeTitles	python	Minimum Deletions to Make Array Beautiful	2216	https://leetcode.com/problems/minimum-deletions-to-make-array-beautiful/	"def minDeletion(self, nums):"
793	leetcodeTitles	python	Count Asterisks	2315	https://leetcode.com/problems/count-asterisks/	"def countAsterisks(self, s):"
794	leetcodeTitles	python	Check if a Parentheses String Can be Valid	2116	https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/	"def canBeValid(self, s, locked):"
795	leetcodeTitles	python	Partition Array Into Three Parts With Equal Sum	1013	https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/	"def canThreePartsEqualSum(self, arr):"
796	leetcodeTitles	python	H-Index II	275	https://leetcode.com/problems/h-index-ii/	"def hIndex(self, citations):"
797	leetcodeTitles	python	Maximum Nesting Depth of Two Valid Parentheses Strings	1111	https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/	"def maxDepthAfterSplit(self, seq):"
798	leetcodeTitles	python	Eliminate Maximum Number of Monsters	1921	https://leetcode.com/problems/eliminate-maximum-number-of-monsters/	"def eliminateMaximum(self, dist, speed):"
799	leetcodeTitles	python	Minimum Path Cost in a Grid	2304	https://leetcode.com/problems/minimum-path-cost-in-a-grid/	"def minPathCost(self, grid, moveCost):"
800	leetcodeTitles	python	Shortest Path with Alternating Colors	1129	https://leetcode.com/problems/shortest-path-with-alternating-colors/	"def shortestAlternatingPaths(self, n, redEdges, blueEdges):"
801	leetcodeTitles	python	Maximum Number of Occurrences of a Substring	1297	https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/	"def maxFreq(self, s, maxLetters, minSize, maxSize):"
802	leetcodeTitles	python	Lowest Common Ancestor of a Binary Tree	236	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/	"def lowestCommonAncestor(self, root, p, q):"
803	leetcodeTitles	python	Word Search	79	https://leetcode.com/problems/word-search/	"def exist(self, board, word):"
804	leetcodeTitles	python	Minimum Deletions to Make String Balanced	1653	https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/	"def minimumDeletions(self, s):"
805	leetcodeTitles	python	Number of Steps to Reduce a Number in Binary Representation to One	1404	https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/	"def numSteps(self, s):"
806	leetcodeTitles	python	Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts	1465	https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/	"def maxArea(self, h, w, horizontalCuts, verticalCuts):"
807	leetcodeTitles	python	Reverse Nodes in Even Length Groups	2074	https://leetcode.com/problems/reverse-nodes-in-even-length-groups/	"def reverseEvenLengthGroups(self, head):"
808	leetcodeTitles	python	Merge in Between Linked Lists	1669	https://leetcode.com/problems/merge-in-between-linked-lists/	"def mergeInBetween(self, list1, a, b, list2):"
809	leetcodeTitles	python	Path with Maximum Probability	1514	https://leetcode.com/problems/path-with-maximum-probability/	"def maxProbability(self, n, edges, succProb, start, end):"
810	leetcodeTitles	python	Remove Linked List Elements	203	https://leetcode.com/problems/remove-linked-list-elements/	"def removeElements(self, head, val):"
811	leetcodeTitles	python	Find the Highest Altitude	1732	https://leetcode.com/problems/find-the-highest-altitude//	"def largestAltitude(self, gain):"
812	leetcodeTitles	python	Ugly Number III	1201	https://leetcode.com/problems/ugly-number-iii/	"def nthUglyNumber(self, n, a, b, c):"
813	leetcodeTitles	python	Increasing Order Search Tree	897	https://leetcode.com/problems/increasing-order-search-tree/	"def increasingBST(self, root):"
814	leetcodeTitles	python	Maximum Population Year	1854	https://leetcode.com/problems/maximum-population-year/	"def maximumPopulation(self, logs):"
815	leetcodeTitles	python	Minimum Lines to Represent a Line Chart	2280	https://leetcode.com/problems/minimum-lines-to-represent-a-line-chart/	"def minimumLines(self, stockPrices):"
816	leetcodeTitles	python	Generate a String With Characters That Have Odd Counts	1374	https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/	"def generateTheString(self, n):"
817	leetcodeTitles	python	All Possible Full Binary Trees	894	https://leetcode.com/problems/all-possible-full-binary-trees/	"def allPossibleFBT(self, n):"
818	leetcodeTitles	python	Find All Lonely Number in the Array	2150	https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/	"def findLonely(self, nums):"
819	leetcodeTitles	python	Bitwise ORs of Subarrays	898	https://leetcode.com/problems/bitwise-ors-of-subarrays/	"def subarrayBitwiseORs(self, arr):"
820	leetcodeTitles	python	Basic Calculator II	227	https://leetcode.com/problems/basic-calculator-ii/	"def jump(self, nums):"
821	leetcodeTitles	python	Minimum Sum of Four Digit Number After Splitting Digits	2160	https://leetcode.com/problems/minimum-sum-of-four-digit-number-after-splitting-digits/	"def minimumSum(self, num):"
822	leetcodeTitles	python	Deepest Leaves Sum	1302	https://leetcode.com/problems/deepest-leaves-sum/	"def deepestLeavesSum(self, root):"
823	leetcodeTitles	python	Minimum Operations to Make Array Equal	1551	https://leetcode.com/problems/minimum-operations-to-make-array-equal/	"def minOperations(self, n):"
824	leetcodeTitles	python	Mini Parser	385	https://leetcode.com/problems/mini-parser/	"def deserialize(self, s):"
825	leetcodeTitles	python	Maximum Number of Balloons	1189	https://leetcode.com/problems/maximum-number-of-balloons/	"def maxNumberOfBalloons(self, text):"
826	leetcodeTitles	python	Coin Change 2	518	https://leetcode.com/problems/coin-change-2/	"def change(self, amount, coins):"
827	leetcodeTitles	python	Beautiful Arrangement II	667	https://leetcode.com/problems/beautiful-arrangement-ii/	"def constructArray(self, n, k):"
828	leetcodeTitles	python	Rectangle Area	223	https://leetcode.com/problems/rectangle-area/	"def computeArea(self, ax1, ay1, ax2, ay2, bx1, by1, bx2, by2):"
829	leetcodeTitles	python	Find Missing Observations	2028	https://leetcode.com/problems/find-missing-observations/	"def missingRolls(self, rolls, mean, n):"
830	leetcodeTitles	python	Number of Substrings With Only 1s	1513	https://leetcode.com/problems/number-of-substrings-with-only-1s/	"def numSub(self, s):"
831	leetcodeTitles	python	Number of Ways to Split a String	1573	https://leetcode.com/problems/number-of-ways-to-split-a-string/	"def numWays(self, s):"
832	leetcodeTitles	python	Container With Most Water	11	https://leetcode.com/problems/container-with-most-water/	"def maxArea(self, height):"
833	leetcodeTitles	python	Guess Number Higher or Lower	374	https://leetcode.com/problems/guess-number-higher-or-lower/	"def guessNumber(self, n):"
834	leetcodeTitles	python	Reverse Vowels of a String	345	https://leetcode.com/problems/reverse-vowels-of-a-string/	"def reverseVowels(self, s):"
835	leetcodeTitles	python	Minimum Swaps to Arrange a Binary Grid	1536	https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/	"def minSwaps(self, grid):"
836	leetcodeTitles	python	Detonate the Maximum Bombs	2101	https://leetcode.com/problems/detonate-the-maximum-bombs/	"def maximumDetonation(self, bombs):"
837	leetcodeTitles	python	Convert Binary Number in a Linked List to Integer	1290	https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/	"def getDecimalValue(self, head):"
838	leetcodeTitles	python	Monotonic Array	896	https://leetcode.com/problems/monotonic-array/	"def isMonotonic(self, nums):"
839	leetcodeTitles	python	Find Center of Star Graph	1791	https://leetcode.com/problems/find-center-of-star-graph/	"def findCenter(self, edges):"
840	leetcodeTitles	python	Unique Email Addresses	929	https://leetcode.com/problems/unique-email-addresses/	"def numUniqueEmails(self, emails):"
841	leetcodeTitles	python	The Number of the Smallest Unoccupied Chair	1942	https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/	"def smallestChair(self, times, targetFriend):"
842	leetcodeTitles	python	Where Will the Ball Fall	1706	https://leetcode.com/problems/where-will-the-ball-fall/	"def findBall(self, grid):"
843	leetcodeTitles	python	Wiggle Sort II	324	https://leetcode.com/problems/wiggle-sort-ii/	"def wiggleSort(self, nums):"
844	leetcodeTitles	python	Maximum Difference Between Increasing Elements	2016	https://leetcode.com/problems/maximum-difference-between-increasing-elements/	"def maximumDifference(self, nums):"
845	leetcodeTitles	python	Convert Integer to the Sum of Two No-Zero Integers	1317	https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/	"def getNoZeroIntegers(self, n):"
846	leetcodeTitles	python	Special Positions in a Binary Matrix	1582	https://leetcode.com/problems/special-positions-in-a-binary-matrix/	"def numSpecial(self, mat):"
847	leetcodeTitles	python	Sort Even and Odd Indices Independently	2164	https://leetcode.com/problems/sort-even-and-odd-indices-independently/	"def sortEvenOdd(self, nums):"
848	leetcodeTitles	python	Minimum Number of Operations to Convert Time	2224	https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/	"def convertTime(self, current, correct):"
849	leetcodeTitles	python	New 21 Game	837	https://leetcode.com/problems/new-21-game/	"def new21Game(self, n, k, maxPts):"
850	leetcodeTitles	python	Simplified Fractions	1447	https://leetcode.com/problems/simplified-fractions/	"def simplifiedFractions(self, n):"
851	leetcodeTitles	python	Relative Sort Array	1122	https://leetcode.com/problems/relative-sort-array/	"def relativeSortArray(self, arr1, arr2):"
852	leetcodeTitles	python	N-ary Tree Level Order Traversal	429	https://leetcode.com/problems/n-ary-tree-level-order-traversal/	"def levelOrder(self, root):"
853	leetcodeTitles	python	Magical String	481	https://leetcode.com/problems/magical-string/	"def magicalString(self, n):"
854	leetcodeTitles	python	Repeated String Match	686	https://leetcode.com/problems/repeated-string-match/	"def repeatedStringMatch(self, a, b):"
855	leetcodeTitles	python	Three Consecutive Odds	1550	https://leetcode.com/problems/three-consecutive-odds/	"def threeConsecutiveOdds(self, arr):"
856	leetcodeTitles	python	3Sum With Multiplicity	923	https://leetcode.com/problems/3sum-with-multiplicity/	"def threeSumMulti(self, arr, target):"
857	leetcodeTitles	python	Defuse the Bomb	1652	https://leetcode.com/problems/defuse-the-bomb/	"def decrypt(self, code, k):"
858	leetcodeTitles	python	Maximum Repeating Substring	1668	https://leetcode.com/problems/maximum-repeating-substring/	"def maxRepeating(self, sequence, word):"
859	leetcodeTitles	python	Search in Rotated Sorted Array	33	https://leetcode.com/problems/search-in-rotated-sorted-array/	"def search(self, nums, target):"
860	leetcodeTitles	python	Find And Replace in String	833	https://leetcode.com/problems/find-and-replace-in-string/	"def findReplaceString(self, s, indices, sources, targets):"
861	leetcodeTitles	python	Maximum Width Ramp	962	https://leetcode.com/problems/maximum-width-ramp/	"def maxWidthRamp(self, nums):"
862	leetcodeTitles	python	Calculate Digit Sum of a String	2243	https://leetcode.com/problems/calculate-digit-sum-of-a-string/	"def digitSum(self, s, k):"
863	leetcodeTitles	python	Circle and Rectangle Overlapping	1401	https://leetcode.com/problems/circle-and-rectangle-overlapping/	"def checkOverlap(self, radius, xCenter, yCenter, x1, y1, x2, y2):"
864	leetcodeTitles	python	Check Wheter Two Strings are Almost Equivalent	2068	https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/	"def checkAlmostEquivalent(self, word1, word2):"
865	leetcodeTitles	python	Add Digits	258	https://leetcode.com/problems/add-digits/	"def addDigits(self, num):"
866	leetcodeTitles	python	Sum of Subarray Ranges	2104	https://leetcode.com/problems/sum-of-subarray-ranges/	"def subArrayRanges(self, nums):"
867	leetcodeTitles	python	Greatest Common Divisor of Strings	1071	https://leetcode.com/problems/greatest-common-divisor-of-strings/	"def gcdOfStrings(self, str1, str2):"
868	leetcodeTitles	python	Single Number	136	https://leetcode.com/problems/single-number/	"def singleNumber(self, nums):"
869	leetcodeTitles	python	Count Items Matching a Rule	1773	https://leetcode.com/problems/count-items-matching-a-rule/	"def countMatches(self, items, ruleKey, ruleValue):"
870	leetcodeTitles	python	K-diff Pairs in an Array	532	https://leetcode.com/problems/k-diff-pairs-in-an-array/	"def findPairs(self, nums, k):"
871	leetcodeTitles	python	Domino and Tromino Tiling	790	https://leetcode.com/problems/domino-and-tromino-tiling/	"def numTilings(self, n):"
