id	source	language	query	source_id	url
0	soSearches	python	how to call soap api with python		
1	soSearches	python	how to convert python currency usd to peso		
2	soSearches	python	how to install mysql client to python 3.6 using pip		
3	soSearches	python	python how to alphanumerically sort an array of data		
4	soSearches	python	how to avoid formattingg of the text in the slide of the ppt using python		
5	soSearches	python	how to count iteration of a while loop in python		
6	soSearches	python	how to change text colour in python 3.7		
7	soSearches	python	how to say all odd numbers within a range in python		
8	soSearches	python	how to trace the execution in python		
9	soSearches	python	how to resize an image using python		
10	soSearches	python	how to open file using sys in python script		
11	soSearches	python	how to dereference python variable inside quotes		
12	soSearches	python	how to make button in python without tkinter		
13	soSearches	python	how to get sum of each row in 2d list in python		
14	soSearches	python	how to split an integer in python by 2 or 3		
15	soSearches	python	how to print oput the first letter form each word in a string in  python		
16	soSearches	python	how to read another file in python		
17	soSearches	python	python how to remove files and directories		
18	soSearches	python	how to find starting point of any action python		
19	soSearches	python	how to add loop to python		
20	soSearches	python	how to check if a file exist in python		
21	soSearches	python	how to parse .csv file in python		
22	soSearches	python	python how to iterate list		
23	soSearches	python	how to convert result of python from decimal to floating numbers		
24	soSearches	python	how to path the file of data  in python		
25	soSearches	python	how to center turtle in python		
26	soSearches	python	python how to append to a binary file		
27	soSearches	python	python pandas how to loop over a dataframe		
28	soSearches	python	how to change dataframe cells in python		
29	soSearches	python	how to restrict input cursor to fixed  length in python		
30	soSearches	python	how to find how many keys are there in python dictionary		
31	soSearches	python	how to change file permission python		
32	soSearches	python	how to pass in a for loop python		
33	soSearches	python	how to put a moving gif image in canvas using class in python 3.5		
34	soSearches	python	how to install skylearn in python		
35	soSearches	python	python how to print binary string without b		
36	soSearches	python	how to import cv2 in python 3.6 on windows		
37	soSearches	python	how to say and in python		
38	soSearches	python	how to iterate over a list in python		
39	soSearches	python	how to convert dictionary to set in python		
40	soSearches	python	how to draw check in python		
41	soSearches	python	how to refer to the next letter in a string in python		
42	soSearches	python	how to install aws cli in windows [python]		
43	soSearches	python	how to read and write 'dbf' files in python		
44	soSearches	python	how to get a user with google api using python		
45	soSearches	python	how to draw smiley with circle on turtle python 3		
46	soSearches	python	how to find min date from all groups from groupby columns in python		
47	soSearches	python	how to set spyder as default program/app to open (.py) python file?		
48	soSearches	python	[python] how to use of		
49	soSearches	python	how to display a picture on the screen using python		
50	soSearches	python	how to find a substring in a string in python		
